"place","pop1980","pop2000","pop2010","pop2023","pop2024","pop2030","pop2050","country","area","landAreaKm","cca2","cca3","unMember","netChange","growthRate","worldPercentage","density","densityMi","rank","cca2Disp","countryDisp","pop2024Disp","pop2023Disp","areaDisp","landAreaKmDisp","densityDisp","growthRateDisp","worldPercentageDisp","rankDisp","unMemberDisp"
548,118156,192074,245453,334506,342325,391135,578567,"Vanuatu",12189,12190,"VU","VUT",true,0.0002,0.0234,0,28.0824,72.7335,182,[object Object],[object Object],[object Object],"334,506","12.2K","12.2K","28",[object Object],[object Object],182,[object Object]
254,66825,164351,228453,312155,319796,366669,532459,"French Guiana",83534,83534,"GF","GUF",false,0.0002,0.0245,0,3.8283,9.9154,183,[object Object],[object Object],[object Object],"312,155","83.5K","83.5K","4",[object Object],[object Object],183,[object Object]
258,163591,250927,283788,308872,311383,324860,346933,"French Polynesia",4167,3471,"PF","PYF",false,0.0001,0.0081,0,89.7099,232.3486,184,[object Object],[object Object],[object Object],"308,872","4.2K","3.5K","90",[object Object],[object Object],184,[object Object]
540,148599,221537,261426,292991,295966,312529,353191,"New Caledonia",18575,18280,"NC","NCL",false,0.0001,0.0102,0,16.1907,41.9339,185,[object Object],[object Object],[object Object],"292,991","18.6K","18.3K","16",[object Object],[object Object],185,[object Object]
52,253575,264657,274711,281995,282309,283082,267788,"Barbados",430,430,"BB","BRB",true,0,0.0011,0,656.5326,1700.4193,186,[object Object],[object Object],[object Object],"281,995","430","430","657",[object Object],[object Object],186,[object Object]
678,97210,143714,182138,231856,236381,265036,366663,"Sao Tome and Principe",964,960,"ST","STP",true,0.0001,0.0195,0,246.2302,637.7362,187,[object Object],[object Object],[object Object],"231,856","964","960","246",[object Object],[object Object],187,[object Object]
882,164905,184008,194672,225681,228966,248627,320016,"Samoa",2842,2780,"WS","WSM",true,0.0001,0.0146,0,82.3619,213.3172,188,[object Object],[object Object],[object Object],"225,681","2.8K","2.8K","82",[object Object],[object Object],188,[object Object]
531,156851,141424,159380,192077,192965,197829,204084,"Curacao",444,444,"CW","CUW",false,0,0.0046,0,434.6059,1125.6292,189,[object Object],[object Object],[object Object],"192,077","444","444","435",[object Object],[object Object],189,[object Object]
662,121633,159500,170935,180251,180805,183274,177856,"Saint Lucia",616,610,"LC","LCA",true,0,0.0031,0,296.4016,767.6802,190,[object Object],[object Object],[object Object],"180,251","616","610","296",[object Object],[object Object],190,[object Object]
316,110286,160188,164905,172952,174114,180746,195673,"Guam",549,540,"GU","GUM",false,0,0.0067,0,322.4333,835.1023,191,[object Object],[object Object],[object Object],"172,952","549","540","322",[object Object],[object Object],191,[object Object]
296,60813,88826,107995,133515,135763,148720,188570,"Kiribati",811,810,"KI","KIR",true,0.0001,0.0168,0,167.6086,434.1064,192,[object Object],[object Object],[object Object],"133,515","811","810","168",[object Object],[object Object],192,[object Object]
308,94838,107432,114039,126183,126887,130366.99999999999,136253,"Grenada",344,340,"GD","GRD",true,0,0.0056,0,373.1971,966.5804,193,[object Object],[object Object],[object Object],"126,183","344","340","373",[object Object],[object Object],193,[object Object]
583,76299,111709,107588,115224,116300,122704,135457,"Micronesia",702,700,"FM","FSM",true,0,0.0093,0,166.1429,430.31,194,[object Object],[object Object],[object Object],"115,224","702","700","166",[object Object],[object Object],194,[object Object]
832,75124,86192,96151,111802,112843,119047,135441,"Jersey",116,120,"JE","JEY",false,0,0.0093,0,940.3583,2435.5281,195,[object Object],[object Object],[object Object],"111,802","116","120","940",[object Object],[object Object],195,[object Object]
776,96708,102603,107383,107773,108683,114124,131225,"Tonga",747,720,"TO","TON",true,0,0.0084,0,150.9486,390.9569,196,[object Object],[object Object],[object Object],"107,773","747","720","151",[object Object],[object Object],196,[object Object]
690,65290.00000000001,80060,92409,107660,108263,111317,116644,"Seychelles",452,460,"SC","SYC",true,0,0.0056,0,235.3543,609.5678,197,[object Object],[object Object],[object Object],"107,660","452","460","235",[object Object],[object Object],197,[object Object]
533,62267,89101,100341,106277,106177,104924,94185,"Aruba",180,180,"AW","ABW",false,0,-0.0009,0,589.8722,1527.7691,198,[object Object],[object Object],[object Object],"106,277","180","180","590",[object Object],[object Object],198,[object Object]
670,107480,113813,109308,103698,103683,104322,101691,"Saint Vincent and the Grenadines",389,390,"VC","VCT",true,0,-0.0001,0,265.8538,688.5615,199,[object Object],[object Object],[object Object],"103,698","389","390","266",[object Object],[object Object],199,[object Object]
850,96640,108185,106142,98750,98055,93419,77519,"United States Virgin Islands",347,347,"VI","VIR",false,0,-0.007,0,282.5793,731.8803,200,[object Object],[object Object],[object Object],"98,750","347","347","283",[object Object],[object Object],200,[object Object]
28,64888.99999999999,75055,85695,94298,94816,97510,99030,"Antigua and Barbuda",442,440,"AG","ATG",true,0,0.0055,0,215.4909,558.1215,201,[object Object],[object Object],[object Object],"94,298","442","440","215",[object Object],[object Object],201,[object Object]
833,64022.00000000001,75562,83828,84710,84904,85798,86680,"Isle of Man",572,570,"IM","IMN",false,0,0.0023,0,148.9544,385.7919,202,[object Object],[object Object],[object Object],"84,710","572","570","149",[object Object],[object Object],202,[object Object]
20,35611,66097,71519,80088,80341,81528,80504,"Andorra",468,470,"AD","AND",true,0,0.0032,0,170.9383,442.7302,203,[object Object],[object Object],[object Object],"80,088","468","470","171",[object Object],[object Object],203,[object Object]
212,72978,68346,68755,73040,73368,74988,74167,"Dominica",751,750,"DM","DMA",true,0,0.0045,0,97.824,253.3642,204,[object Object],[object Object],[object Object],"73,040","751","750","98",[object Object],[object Object],204,[object Object]
136,17100,39658,54074,69310,69885,72865,77633,"Cayman Islands",264,240,"KY","CYM",false,0,0.0083,0,291.1875,754.1756,205,[object Object],[object Object],[object Object],"69,310","264","240","291",[object Object],[object Object],205,[object Object]
